Item	Price	Weight	Craft DC
Alchemical cement	5 gp	2 lbs.	15
Alchemical glue	20 gp	1/2 lb.	20
Alchemical glue accelerant	25 gp	-	25
Alchemical solvent	20 gp	1/2 lb.	20
Armor ointment	30 gp	1 lb.	15
Blackfire clay	20 gp	10 lbs.	20
Bloodblock	25 gp	-	25
Buoyant balloon	10 gp	1 lb.	15
Candlerod	1 gp	1 lb.	20
Casting plaster	5 sp	5 lbs.	-
Chill cream	15 gp	1 lb.	15
Defoliant	30 gp	-	25
Embalming fluid	50 gp	10 lbs.	25
Foaming powder	10 gp	1 lb.	20
Glowing ink	5 gp	-	15
Impact foam	25 gp	1 lb.	20
Invisible ink (simple)	2 gp	-	15
Invisible ink (average)	10 gp	-	20
Invisible ink (good)	25 gp	-	20
Invisible ink (superior)	75 gp	-	25
Light detector	1 gp	-	10
Marker dye	15 gp	1 lb.	15
Mending paste	25 gp	1/2 lb.	25
Nushadir	10 gp	1 lb.	20
Rusting powder	60 gp	-	30
Scent cloak	20 gp	2 lbs.	20
Smoke pellet	25 gp	-	20
Smokestick	20 gp	1/2 lb.	20
Sunrod	2 gp	1 lb.	25
Tindertwig	1 gp	-	25
Water purification sponge	25 gp	1 lb.	15
Weapon blanch (adamantine)	100 gp	1/2 lb.	25
Weapon blanch (cold iron)	20 gp	1/2 lb.	20
Weapon blanch (silver)	5 gp	1/2 lb.	20
