			Price	Armor/Shield  Bonus	Max  Dex Bonus	Armor  Check Penalty	Arcane Spell  Failure Chance	Speed  30 ft.	Speed  20 ft.	Weight 1	
Armor	Light	Chain shirt	100 gp	4	4	-2	20	30	20	25	<p>Covering the torso, this shirt is made up of thousands of interlocking metal rings.</p>
Armor	Light	Haramaki	3 gp	1		0	0	30	20	1	<p>Also called a belly-warmer, a haramaki is a simple silken sash lined with chainmail or articulated metal plates and tied about the stomach to protect it. </p>
Armor	Light	Lamellar (leather)	60 gp	4	3	-2	20	30	20	25	<p>Lamellar is a type of armor in which small plates of various types of materials are strung together in parallel rows using fine cord. Lamellar plates can be constructed from lacquered leather, horn, or even stone, though suits of iron and steel are the most common. Lamellar armor can be crafted into various shapes, including partial pieces such as breastplates, greaves, or even entire coats. The properties of specific suits and pieces of lamellar armor are determined by their material.</p>
Armor	Light	Lamellar cuirass	15 gp	2	4	0	5	30	20	8	<p>This armor consists of a light breastplate and shoulder guards made from lacquered leather plates bound together and fitted over a silk shirt. </p>
Armor	Light	Leather	10 gp	2	6	0	10	30	20	15	<p>Leather armor is made up of multiple overlapping pieces of leather, boiled to increase their natural toughness and then deliberately stitched together. Although not as sturdy as metal armor, the flexibility it allows wearers makes it among the most widely used types of armor.</p>
Armor	Light	Padded	5 gp	1	8	0	5	30	20	10	<p>More than simple clothing, padded armor combines heavy, quilted cloth and layers of densely packed stuffing to create a cheap and basic protection. It is typically worn by those not intending to face lethal combat or those who wish their maneuverability to be impacted as little as possible.</p>
Armor	Light	Parade	25 gp	3	5	-1	15	30	20	20	<p>Most wealthy countries with standing armies have a different uniform for use in showy noncombat situations such as parades, coronation ceremonies, and so on. The appearance of this armor varies by the country of origin and the branch of the military, but still provides some protection in case the soldier needs to fight while in parade dress. For example, one country's parade armor may be a chain shirt, tabard, leather greaves, and a winged helm. If you're wearing a country's parade armor, you gain a +2 circumstance bonus on Diplomacy and Intimidate checks to influence a person from that country. Depending on the country, parade armor may be crafted from leather, metal, or a mixture of both.</p>
Armor	Light	Quilted cloth	100 gp	1	8	0	10	30	20	15	<p>This enhanced form of padded armor has internal layers specifically designed to trap arrows, bolts, darts, shuriken, thrown daggers, and other small ranged piercing weapons. When these kinds of weapons strike you, they tend to become snagged in these layers and fail to harm you. Wearing quilted cloth armor gives you DR 3/— against attacks of this kind. The special layers of the armor have no effect on other kinds of weapons. </p>
Armor	Light	Silken ceremonial	30 gp	1		0	0	30	20	4	<p>Used for ceremonial displays or occasionally worn (albeit with no additional benefit) over heavier armor, these robes consist of several layers of cloth and an outer layer of silk intricately woven with gold brocade designs and covered with metal studs. </p>
Armor	Light	Studded leather	25 gp	3	5	-1	15	30	20	20	<p>An improved form of leather armor, studded leather armor is covered with dozens of metal protuberances. While these rounded studs offer little defense individually, in the numbers they are arrayed in upon such armor, they help catch lethal edges and channel them away from vital spots. The rigidity caused by the additional metal does, however, result in less mobility than is afforded by a suit of normal leather armor.</p>
Armor	Light	Wooden	20 gp	3	3	-1	15	30	20	25	<p>This suit of leather armor has plates of fire-treated wood sewn over vital areas. Though not as effective as metal armor, it offers better protection than leather alone. Unlike metal armor, the wood is slightly buoyant, and the armor check penalty for swimming in this armor is 0. </p>
Armor	Medium	Agile breastplate	400 gp	6	3	-4	25	20	15	25	<p>This breastplate is specially crafted in a manner that allows extra maneuverability for some physical activities. The armor check penalty for Climb checks and jump checks is only –1 (masterwork and mithral versions of this armor reduce this penalty as well as the normal penalty). </p>
Armor	Medium	Armored coat	50 gp	4	3	-2	20	20	15	20	"<p>This sturdy leather coat is reinforced with metal plates sewn into the lining. An armored coat is more cumbersome than light armor but less effective than most medium armors. The advantage of it is that a person can don it or remove it as a move action (there is no ""don hastily"" option for an armored coat). If worn over other armor, use the better AC bonus and worse value in all other categories; an armored coat has no effect if worn with heavy armor. The only magic effects that apply are those of armor, clothing, or items worn on top.</p>"
Armor	Medium	Breastplate	200 gp	6	3	-4	25	20	15	30	<p>A breastplate protects a wearer's torso with a single piece of sculpted metal, similar to the core piece of a suit of full plate. Despite its sturdiness, its inflexibility and open back make it inferior to complete suits of metal armor, but still an improvement over most non-metal armors.</p>
Armor	Medium	Chainmail	150 gp	6	2	-5	30	20	15	40	<p>Unlike a chain shirt, which covers only the chest, chainmail protects the wearer with a complete mesh of chain links that cover the torso and arms, and extends below the waist. Multiple interconnected pieces offer additional protection over vital areas. The suit includes gauntlets.</p>
Armor	Medium	Do-maru	200 gp	5	4	-4	25	20	15	30	<p>The lightest of armors typically favored by samurai, do-maru wraps around the wearer's body like a short armored coat. It consists primarily of lamellar and lacks a solid breastplate or sleeves, leaving the shoulders and upper body somewhat exposed, but permitting the wearer greater flexibility than do the majority of heavier armors. </p>
Armor	Medium	Four-mirror	45 gp	6	2	-5	30	20	15	45	<p>This armor consists of four plates harnessed together with leather shoulder straps. Two round plates protect your front and back, while two smaller rectangular plates cover the sides of the torso. Four-mirror armor is worn over chainmail to provide added protection, and comes with a spiked helmet with a chainmail hood. </p>
Armor	Medium	Hide	15 gp	4	4	-3	20	20	15	25	<p>Hide armor is made from the tanned skin of particularly thick-hided beasts, stitched with either multiple overlapping layers of crude leather or exterior pieces of leather stuffed with padding or fur. Damage to the armor is typically repaired by restitching gashes or adding new pieces of hide, giving the most heavily used suits a distinctively patchwork quality.</p>
