		name	cost	cl	weight	description	reqs	aura
Wondrous Item	Eyes	Annihilation spectacles	25000 gp	11	0.25	<p>Creatures viewed through these darkly tinted glasses sometimes seem to flicker briefly in and out of existence. A transmuter can use these spectacles to spontaneously convert any prepared wizard transmutation spell into any other wizard transmutation spell he knows; the desired spell must be of the same level or lower than the prepared spell. Once per day, he may use the spectacles to spontaneously cast <i>disintegrate</i> in place of one of his prepared transmutation wizard spells of 6th level or higher, even if he doesn't know that spell.</p>	12,500 gp, craft wondrous item, disintegrate, creator must be a transmuter	moderate transmutation
Wondrous Item	Eyes	Arachnid goggles	15000 gp	9	2	<p>This leather band is studded with dozens of faceted crystals of varying size, two of which fit over the eyes. When wearing these goggles, the wearer uses all the crystals as eyes, gaining all-around vision.</p>	7,500 gp, craft wondrous item, countless eyes	moderate transmutation
Wondrous Item	Eyes	Blind man's fold	12000 gp	6	0	<p>Fashioned from a scrap of a blind beggar's clothing, a blind man's fold is often used by explorers who must traverse caves inhabited by invisible creatures, or those drawn to sources of light. A <i>blind man's fold</i> fully obscures normal vision while worn, but grants the effects of the Improved Blind-Fight feat . Creatures which are unable to see normally gain no benefit from wearing a <i>blind man's fold.</i></p>	6,000 gp, craft wondrous item, improved blind-fight, darkness	moderate transmutation
Wondrous Item	Eyes	Darklands goggles	20000 gp	6	0	<p>These goggles' dark lenses are made of round obsidian sheets thin enough to see through. They grant the wearer darkvision 120, as well as a +4 competence bonus on Perception checks and Survival checks made to track while underground.</p>	10,000 gp, craft wondrous item, darkvision, terrain bond	moderate transmutation
Wondrous Item	Eyes	Deathwatch eyes	2000 gp	1	0	<p>These blood red crystal lenses fit snugly over the wearer's eyes. The wearer gains the constant effects of the <i>deathwatch </i>spell. </p>	1,000 gp, craft wondrous item, deathwatch	faint necromancy
Wondrous Item	Eyes	Eyes of charming	56000 gp	7	0	<p>These two crystal lenses fit over the user's eyes. The wearer is able to use <i>charm person</i> (one target per round) merely by meeting a target's gaze. Those targets failing a DC 16 Will save are charmed as per the spell. Both lenses must be worn for the magic item to take effect.</p>	28,000 gp, craft wondrous item, heighten spell, charm person	moderate enchantment
Wondrous Item	Eyes	Eyes of doom	25000 gp	11	0	<p>These crystal lenses fit over the user's eyes, enabling him to cast <i>doom</i> upon those around him (one target per round) as a gaze attack, except that the wearer must take a standard action, and those merely looking at the wearer are not affected. Those failing a DC 11 Will save are affected as by the <i>doom</i> spell. The wearer also gains the additional power of a continual <i>deathwatch</i> effect and can use <i>fear</i> (Will DC 16 partial) as a normal gaze attack once per week. Both lenses must be worn for the magic item to take effect.</p>	12,500 gp, craft wondrous item, doom, deathwatch, fear	moderate necromancy
Wondrous Item	Eyes	Eyes of eyebite	30000 gp	11	0	<p>These glasses look like golden teeth holding a pair of green-tinted lenses. The wearer may use <i>eyebite</i> 11 times per day on command, affecting one target for each use of the spell. The wearer does not need to use these rounds consecutively, but each activation is a standard action (unlike the spell, in which targeting a new foe is a swift action). If the wearer removes the glasses, the <i>eyebite</i> effects immediately end.</p>	15,000 gp, craft wondrous item, eyebite	moderate necromancy
Wondrous Item	Eyes	Eyes of keen sight	6000 gp	1	0	<p>These clear crystals fit over the wearer's eyes. They grant the wearer a +2 competence bonus on Perception checks, and the wearer gains low-light vision. If the wearer has low-light vision already, these lenses double the distance the wearer can see with this vision.</p>	3,000 gp, craft wondrous item, keen senses 	faint transmutation
Wondrous Item	Eyes	Eyes of the dragon	110000 gp	15	0	<p>These tigereye gems fit over and then meld into the eyes, transforming the wearer's eyes into something slitted and draconic. These eyes grant the wearer darkvision 120 ft. and blindsense 60 ft. The wearer sees four times as well as a human in dim light and twice as well in normal light.</p>	55,000 gp, craft wondrous item, form of the dragon iii	strong transmutation
