		name	cost	cl	weight	description	reqs	aura
Staff		Animate staff	49800 gp	11	5	<p>Created from a number of iron rods, copper gears, and silver screws, this staff constantly shifts and changes. The staff allows use of the following spells:</p><ul><li><i>Make whole </i>(1 charge)</li><li><i>Mending</i> (1 charge)</li><li><i>Animate objects </i>(2 charges)</li></ul><p>In addition, once per day, the staff can become a Medium animated object  with the metal special ability. It can remain in this form for up to 10 minutes. If destroyed while in this form, it reverts to being a staff, but it loses all of its charges and this ability cannot be used again until it is fully recharged.</p>	24,900 gp, craft staff, animate objects, make whole, mending	moderate transmutation
Staff		Chaotic staff	29600 gp	8	5	<p>Made up from a number of different materials, including wood, metal, and possibly pieces of flesh, this staff seems to shift in shape and form over time. The staff allows use of the following spells:</p><ul><li><i>Align weapon </i>(chaos only, 1 charge)</li><li><i>Detect law</i> (1 charge)</li><li><i>Chaos hammer </i>(2 charges)</li><li><i>Magic circle against law </i>(2 charges)</li></ul>	14,800 gp, craft staff, align weapon, chaos hammer, detect evil, magic circle against law	moderate evocation
Staff		Dragon staff	81000 gp	13	7	<p>Made from a large dragon bone, wrapped in scales and topped with the fearsome image of a dragon, this staff radiates power. Each dragon staff is linked to one type of chromatic dragon: black, blue, green, red, or white. All the spells that can be cast using the staff are tied to that choice. If the wielder uses the staff to cast <i>form of the dragon II</i>, she must assume the type linked to the staff. Any energy types chosen by spells from the staff must match the type as well (black and green are linked to acid, blue is linked to electricity, red is linked to fire, and white is linked to cold). The staff allows use of the following spells:</p><ul><li><i>Fly </i>(1 charge)</li><li><i>Protection from energy</i> (1 charge)</li><li><i>Dragon's breath</i> (2 charges)</li><li><i>Form of the dragon II </i>(4 charges)</li></ul><p>In addition to these powers, the wielder of the <i>dragon staff</i> also receives a +2 natural armor bonus to her AC and the ability to make a bite attack as a primary natural weapon. This bite deals 1d8 points of damage if the wielder is Medium. These bonuses are a polymorph effect and are replaced by those gained from casting <i>form of the dragon II</i>, or other similar spells.</p>	40,500 gp, craft staff, alter self, dragon's breath, fly, form of the dragon ii, protection from energy	strong transmutation
Staff		Heretic's bane	32000 gp	8	5	<p>This sturdy wooden staff is crowned by a holy symbol, surrounded by wicked barbs of metal. The staff allows use of the following spells:</p><ul><li><i>Castigate </i>(1 charge)</li><li><i>Command</i> (1 charge)</li><li><i>Zone of truth</i> (1 charge)</li><li><i>Denounce </i>(2 charges)</li></ul>	16,000 gp, craft staff, castigate, command, denounce, zone of truth	moderate enchantment
Staff		Holy staff	29600 gp	8	5	<p>This staff is made from polished birch, inlaid with ivory, and topped with a pristine white gemstone. The staff allows use of the following spells:</p><ul><li><i>Align weapon </i>(good only, 1 charge)</li><li><i>Detect evil</i> (1 charge)</li><li><i>Holy smite </i>(2 charges)</li><li><i>Magic circle against evil </i>(2 charges)</li></ul>	14,800 gp, craft staff, align weapon, detect evil, holy smite, magic circle against evil	moderate evocation
Staff		Lawful staff	29600 gp	8	5	<p>This staff is crafted from a perfectly smooth triangular rod of silver, and its top is crowned with a golden sphere. The staff allows use of the following spells:</p><ul><li><i>Align weapon </i>(lawful only, 1 charge)</li><li><i>Detect chaos</i> (1 charge)</li><li><i>Magic circle against chaos </i>(2 charges)</li><li><i>Order's wrath </i>(2 charges)</li></ul>	14,800 gp, craft staff, align weapon, detect chaos, magic circle against chaos, order's wrath	moderate evocation
Staff		Musical staff	32000 gp	8	5	<p>This staff is made from high-quality wood and festooned with brass rods and keys, looking almost like an instrument. The staff allows use of the following spells:</p><ul><li><i>Ghost sound </i>(1 charge)</li><li><i>Piercing shriek</i> (1 charge)</li><li><i>Sculpt sound </i>(2 charges)</li><li><i>Wall of sound </i>(2 charges)</li></ul><p>In addition, as a swift action, the wielder of the <i>musical staff</i> can cause it to transform into a string or wind instrument. Any Perform skill checks made with the <i>musical staff</i> gain a +5 competence bonus. The staff can still be used to cast spells while it is an instrument, and it can revert back to a staff as a free action.</p>	16,000 gp, craft staff, ghost sound, piercing shriek, sculpt sound, wall of sound	moderate evocation
Staff		Staff of abjuration	82000 gp	13	5	<p>Usually carved from the heartwood of an ancient oak, ash, sequoia, or other large tree, this staff allows use of the following spells:</p><ul><li><i>Dispel magic</i> (1 charge)</li><li><i>Resist energy</i> (1 charge)</li><li><i>Shield</i> (1 charge)</li><li><i>Dismissal</i> (2 charges)</li><li><i>Lesser globe of invulnerability</i> (2 charges)</li><li><i>Repulsion</i> (3 charges)</li></ul>	41,000 gp, craft staff, dismissal, dispel magic, lesser globe of invulnerability, repulsion, resist energy, shield	strong abjuration
Staff		Staff of accompaniment	14800 gp	8	5	<p>This staff is adorned with musical notes. When held and used with bardic performance, it accompanies the song with the sounds of wind instruments, granting a +2 competence bonus on Perform checks. The staff allows use of the following spells:</p><ul><li><i>Chord of shards</i> (1 charge)</li><li><i>Saving finale</i> (1 charge)</li><li><i>Allegro</i> (2 charges)</li></ul>	7,400 gp, craft staff, allegro, chord of shards, saving finale	moderate evocation and transmutation
Staff		Staff of acid	28600 gp	11	5	<p>This staff is made of a rust-colored metal that has been corroded by acid, with a sickly green gem at its tip. The staff allows use of the following spells:</p><ul><li><i>Corrosive touch </i>(1 charge)</li><li><i>Acid arrow </i>(2 charges)</li><li><i>Acid fog </i>(3 charges)</li></ul>	14,300 gp, craft staff, acid arrow, acid fog, corrosive touch	moderate conjuration
Staff		Staff of aspects	37600 gp	9	5	<p>This stout staff is made of ash. Four faces of animals-a bear, a falcon, a stag, and a wolf-are carved at its top. The aspect staff functions as a <i>+1/+1 quarterstaff</i> and allows the use of the following spells:</p><ul><li><i>Aspect of the bear</i> (1 charge)</li><li><i>Aspect of the falcon</i> (1 charge)</li><li><i>Aspect of the stag</i> (2 charges)</li><li><i>Aspect of the wolf </i>(3 charges)</li></ul>	19,100 gp, craft magic arms and armor, craft staff, aspect of the bear, aspect of the falcon, aspect of the stag, aspect of the wolf	moderate transmutation
Staff		Staff of authority	23000 gp	8	5	<p>This stout ironbound staff functions as a <i>+1/+1 quarterstaff</i>. It allows the use of the following spells:</p><ul><li><i>Forced quiet</i> (1 charge)</li><li><i>Interrogation</i> (1 charge) </li><li><i>Oppressive boredom</i> (2 charges)</li></ul>	11,800 gp, craft staff, forced quiet, interrogation, oppressive boredom	moderate varies
Staff		Staff of belittling	20000 gp	8	5	<p>Someone who carries this blue-and-white staff need never feel small nor weak, as the staff brings everybody and everything down to size. This staff allows the use of the following spells:</p><ul><li><i>Reduce person</i> (1 charge)</li><li><i>Reduce animal</i> (2 charges)</li><li><i>Shrink item</i> (2 charges)</li><li><i>Mass reduce person</i> (4 charges)</li></ul>	10,000 gp, craft staff, mass reduce person, reduce animal, reduce person, shrink item	moderate transmutation
Staff		Staff of blessed relief	7200 gp	8	5	<p>This simple wooden staff is given to young clergy when they first set out into the world to spread the charity of their faith. The staff allows use of the following spells:</p><ul><li><i>Create water </i>(1 charge)</li><li><i>Stabilize</i> (1 charge)</li><li><i>Bless </i>(2 charges)</li></ul>	3,600 gp, craft staff, bless, create water, stabilize	faint conjuration
Staff		Staff of bolstering	41600 gp	8	5	<p>The top of this rosewood shaft narrows and then expands again, bound by a number of metal rings. It allows use of the following spells:</p><ul><li><i>Bear's endurance</i> (1 charge)</li><li><i>Bull's strength</i> (1 charge)</li><li><i>Cat's grace</i> (1 charge)</li><li><i>Greater magic weapon</i> (1 charge)</li></ul>	20,800 gp, craft staff, bear's endurance, bull's strength, cat's grace, greater magic weapon	moderate transmutation
Staff		Staff of cackling wrath	47200 gp	8	5	<p>The thorns embedded in this gnarled length of wood make it rather tricky for the unwary to grasp. It allows use of the following spells:</p><ul><li><i>Blindness/deafness</i> (1 charge)</li><li><i>Charm person</i> (1 charge)</li><li><i>Hold person</i> (1 charge)</li><li><i>Inflict moderate wounds</i> (1 charge)</li><li><i>Baleful polymorph</i> (2 charges)</li><li><i>Bestow curse</i> (2 charges)</li><li><i>Vampiric touch</i> (2 charges)</li></ul>	23,600 gp, craft staff, baleful polymorph, bestow curse, blindness/deafness, charm person, hold person, inflict moderate wounds, vampiric touch	moderate varies
