Name	Cost		Type	Description
Agate	5 gp	+2d4 gp	Least semi-precious	These banded stones are a variety of quartz, and take on a variety of shapes and patterns.
Alabaster	5 gp	+2d4 gp	Least semi-precious	This white- to cream-colored stone is thinly cut to create decorative surfaces or shaped into small objects.
Amber	50 gp	+2d4 × 10 gp	Semi-precious	Derived from golden-yellow to golden-orange fossilized tree resin, pieces of amber sometimes contain insects, pine needles, and even more exotic flora and fauna.
Amethyst	50 gp	+2d4 × 10 gp	Semi-precious	This rare purple or mauve quartz is thought by some to ward off drunkenness, and is thus held in particularly high esteem by lushes and winos.
Aquamarine	250 gp	+2d4 × 50 gp	Greater semi-precious	These blue or sea green crystals are often faceted to show off their luster and reflective qualities.
Azurite	5 gp	+2d4 gp	Least semi-precious	This blue copper mineral is produced after copper deposits are exposed to the elements for a long time, and is used to make blue dyes as well as jewelry.
Bloodstone	25 gp	+2d4 × 5 gp	Lesser semi-precious	This variety of chalcedony is green and dotted with blood red jasper, and is also called heliotrope.
Carnelian	25 gp	+2d4 × 5 gp	Lesser semi-precious	This translucent red or orange mineral is most often polished to create beads, decorative pieces, and cameos.
Chrysoberyl	50 gp	+2d4 × 10 gp	Semi-precious	These hard gemstones can be green, greenish yellow, or yellow brown. They are brilliant when cut, but often lack the fire of more precious stones.
Chrysoprase	25 gp	+2d4 × 5 gp	Lesser semi-precious	This apple-green decorative stone is sometimes confused with jade, and is used both decoratively and in the creation of cameos.
Citrine	25 gp	+2d4 × 5 gp	Lesser semi-precious	This pale yellow to golden yellow stone is a type of quartz and is used to create faceted gemstones and decorative objects.
Coral	50 gp	+2d4 × 10 gp	Semi-precious	Borne from the sea, coral is not a true mineral, but is the red, blue, or black skeletal remains of minute marine animals called coral polyps.
Diamond, large	2500 gp	+2d4 × 500 gp	Greater precious	The most popular diamonds are clear, but they can also be golden, pale pink, pink-red, gray-green, or even black. Among the hardest of minerals, only other diamonds can cut these gems. These gems are nearly always faceted.
Diamond, small	500 gp	+2d4 × 100 gp	Lesser precious	The most popular diamonds are clear, but they can also be golden, pale pink, pink-red, gray-green, or even black. Among the hardest of minerals, only other diamonds can cut these gems. These gems are nearly always faceted.
