Light	Haramaki	3 gp	1	—	0	0,00 %	30 ft.	20 ft.	1 lb.	haramaki	<p>Also called a belly-warmer, a haramaki is a simple silken sash lined with chainmail or articulated metal plates and tied about the stomach to protect it. </p>
Light	Padded	5 gp	1	8	0	5,00 %	30 ft.	20 ft.	10 lbs.	padded	<p>More than simple clothing, padded armor combines heavy, quilted cloth and layers of densely packed stuffing to create a cheap and basic protection. It is typically worn by those not intending to face lethal combat or those who wish their maneuverability to be impacted as little as possible.</p>
Light	Quilted cloth	100 gp	1	8	0	10,00 %	30 ft.	20 ft.	15 lbs.	quilted-cloth	<p>This enhanced form of padded armor has internal layers specifically designed to trap arrows, bolts, darts, shuriken, thrown daggers, and other small ranged piercing weapons. When these kinds of weapons strike you, they tend to become snagged in these layers and fail to harm you. Wearing quilted cloth armor gives you DR 3/— against attacks of this kind. The special layers of the armor have no effect on other kinds of weapons. </p>
Light	Silken ceremonial	30 gp	1	—	0	0,00 %	30 ft.	20 ft.	4 lbs.	silken-ceremonial	<p>Used for ceremonial displays or occasionally worn (albeit with no additional benefit) over heavier armor, these robes consist of several layers of cloth and an outer layer of silk intricately woven with gold brocade designs and covered with metal studs. </p>
Light	Lamellar cuirass	15 gp	2	4	0	5,00 %	30 ft.	20 ft.	8 lbs.	lamellar-cuirass	<p>This armor consists of a light breastplate and shoulder guards made from lacquered leather plates bound together and fitted over a silk shirt. </p>
Light	Leather	10 gp	2	6	0	10,00 %	30 ft.	20 ft.	15 lbs.	leather	<p>Leather armor is made up of multiple overlapping pieces of leather, boiled to increase their natural toughness and then deliberately stitched together. Although not as sturdy as metal armor, the flexibility it allows wearers makes it among the most widely used types of armor.</p>
Light	Parade	25 gp	3	5	–1	15,00 %	30 ft.	20 ft.	20 lbs.	parade	"<p>Most wealthy countries with standing armies have a different uniform for use in showy noncombat situations such as parades, coronation ceremonies, and so on. The appearance of this armor varies by the country of origin and the branch of the military, but still provides some protection in case the soldier needs to fight while in parade dress. For example, one country's parade armor may be a chain shirt, tabard, leather greaves, and a winged helm. If you're wearing a country's parade armor, you gain a +2 circumstance bonus on <a href=""/pathfinderRPG/prd/coreRulebook/skills/diplomacy.html#diplomacy"">Diplomacy</a> and <a href=""/pathfinderRPG/prd/coreRulebook/skills/intimidate.html#intimidate"">Intimidate</a> checks to influence a person from that country. Depending on the country, parade armor may be crafted from leather, metal, or a mixture of both.</p>"
Light	Studded leather	25 gp	3	5	–1	15,00 %	30 ft.	20 ft.	20 lbs	studded-leather	<p>An improved form of leather armor, studded leather armor is covered with dozens of metal protuberances. While these rounded studs offer little defense individually, in the numbers they are arrayed in upon such armor, they help catch lethal edges and channel them away from vital spots. The rigidity caused by the additional metal does, however, result in less mobility than is afforded by a suit of normal leather armor.</p>
Light	Wooden	20 gp	3	3	–1	15,00 %	30 ft.	20 ft.	25 lbs.	wooden	<p>This suit of leather armor has plates of fire-treated wood sewn over vital areas. Though not as effective as metal armor, it offers better protection than leather alone. Unlike metal armor, the wood is slightly buoyant, and the armor check penalty for swimming in this armor is 0. </p>
Light	Chain shirt	100 gp	4	4	–2	20,00 %	30 ft.	20 ft.	25 lbs.	chain-shirt	<p>Covering the torso, this shirt is made up of thousands of interlocking metal rings.</p>
Light	Lamellar (leather)	60 gp	4	3	–2	20,00 %	30 ft.	20 ft.	25 lbs.	lamellar-leather	<p>Lamellar is a type of armor in which small plates of various types of materials are strung together in parallel rows using fine cord. Lamellar plates can be constructed from lacquered leather, horn, or even stone, though suits of iron and steel are the most common. Lamellar armor can be crafted into various shapes, including partial pieces such as breastplates, greaves, or even entire coats. The properties of specific suits and pieces of lamellar armor are determined by their material.</p>
