All tools vest	1800 gp	1	5	<p>This well-made leather vest bears numerous shiny metal buttons, which stud a number of bulging  pockets. Once per day, as a standard action, the wearer can speak the vest's command word and order it to bring forth all the standard tools required to make checks for any one Craft skill. These tools appear in the countless pockets of the vest or, if too heavy, on the floor, on a nearby shelf, on a workbench, or in a toolbox or cupboard that appears nearby. Once summoned, they remain for 24 hours or until another creature touches them, whichever comes first.</p>	Cost 900 gp, craft wondrous item, summon instrument	faint conjuration
Bandages of rapid recovery	200 gp	1	1	<p>These linen bandages have the same color and softness as the feathers of a dove, but their antiseptic smell suggests a less natural origin. Any creature wrapped in these bandages recovers from wounds and ability damage each day as if receiving complete bed rest, regardless of activity . A creature actually receiving long-term care (from the Heal skill) or complete bed rest while wearing the bandages gains a +4 bonus to its effective level or Hit Dice when determining how many hit points it recovers each day. The bandages are destroyed once removed or when the wearer recovers all hit points and ability damage, whichever comes first.</p>	Cost 100 gp, craft wondrous item, cure light wounds, lesser restoration, stabilize	faint conjuration
Bane baldric	10000 gp	10	 1	<p>This ornate sash of embroidered velvet stretches across the chest from shoulder to waist. If the wearer is an inquisitor, she is treated as five levels higher when using her bane and greater bane abilities. If the wearer is not an inquisitor, she gains the bane ability of a 5th-level inquisitor, but must first attune a light or one-handed melee weapon to the baldric by hanging it from the cloth for 24 hours, and can only use the bane ability with the attuned weapon. Attuning a new weapon to the baldric ends the attunement for the previous weapon.</p>	Cost 5,000 gp, craft wondrous item, summon monster i, creator must be an inquisitor	moderate conjuration
Cackling hag's blouse	6000 gp	3	 2	<p>This loose-fitting blouse is adorned with grotesque fetishes and trophies, granting the wearer a +2 competence bonus on Intimidate checks. If the wearer is a witch, she gains the cackle hex. If the wearer already has the cackle hex, twice per day she can use her cackle ability as a swift action instead of a move action.</p>	Cost 3,000 gp, craft wondrous item, hideous laughter or the cackle hex, creator must have 5 ranks in intimidate	faint enchantment
Deadshot vest	6000 gp	3	1	<p>This rough vest of black snakeskin is decorated with a fringe of rawhide tassels, each knotted around a bit of bone or a small animal skull. A gunslinger with the deadeye deed reduces the grit point cost to use that deed by 1 (minimum 1 grit).</p><p>In addition, once per day when the wearer reduces a creature to 0 or fewer hit points with a firearm she can use <i>death knell</i> (Will DC 13 negates) against that target as a swift action. She does not have to touch the target to activate this ability, but her range increment penalty for shooting the target also applies to the saving throw DC of the <i>death knell</i> (for example, if the range increment penalty is –2, the DC is 11).</p>	Cost 3,000 gp, craft wondrous item, death knell, true strike	faint necromancy
Endless bandolier	1500 gp	9	 2	<p>Small loops sewn into this bandolier look like they can hold  twenty alchemical cartridges (ammunition for a firearm, see <i>Ultimate Combat</i>), but due to a subtle bending of space can actually hold up to 60 cartridges. Additionally, the six thin pockets on the bandolier are extradimensional spaces meant to hold extra guns and gear. The four small pockets can each hold a one-handed firearm, 1 pound of ammunition, a powder horn, or a similarly sized object. The two large pockets are large enough to hold a two-handed firearm or a similarly sized object. The wearer can draw an item stored in the bandolier as easily as if from an ordinary ammunition pouch or holster. The bandolier weighs the same no matter what is placed inside it.</p>	Cost 750 gp, craft wondrous item, secret chest	moderate conjuration
Mantle of faith	76000 gp	20	0	<p>This holy garment bears the varied  religious icons and favored colors of a specific faith. When worn over normal clothing, grants damage reduction 5/evil to the character wearing it.</p>	Cost 38,000 gp, craft wondrous item, stoneskin	strong abjuration
Mantle of immortality	50000 gp	17	 1	<p>This elegant cape, trimmed in gold in a pattern resembling an ancient maze, forestalls the negative effects of aging. The wearer no longer suffers penalties to Strength, Dexterity, and Constitution from being of middle age or older . The penalties return if the robe is removed (or its powers suppressed), and the sudden weight of years is so traumatic that the wearer must make a DC 20 Fortitude save or be exhausted for 24 hours. Donning the robe again removes the age penalties, but does not remove this exhaustion, which must pass on its own or be remedied with magic.</p>	Cost 25,000 gp, craft wondrous item, greater age resistance	strong transmutation
Mantle of spell resistance	90000 gp	9	0	<p>This light mantle bears a variety of mysterious symbols. When worn over normal clothing or armor, this magical garment grants the wearer spell resistance 21.</p>	Cost 45,000 gp, craft wondrous item, spell resistance	moderate abjuration
Merciful baldric	60000 gp	11	 2	<p>This sash of white silk embroidered with golden suns never tears, fades, or soils. Once per day, a paladin wearing this baldric can select three extra mercies of her level or lower she does not already know and add them to the list of mercies she can use for the day. She has access to these mercies for 24 hours. When the wearer uses a mercy to remove a condition caused by a curse, disease, or poison, the mercy actually cures the source curse, disease, or poison rather than merely suppressing it for 1 hour.</p>	Cost 30,000 gp, craft wondrous item, extra mercy, remove disease, remove curse, creator must be lawful good	moderate conjuration
