Apprentice's cheating gloves	2200 gp	3	0	<p>These nondescript white gloves are a boon to minor spellcasters and fakes who are limited or lacking in magical ability or versatility. The wearer of these gloves can employ <i>mage hand</i> and <i>prestidigitation </i>at will.</p>	Cost 1,100 gp, craft wondrous item, mage hand, prestidigitation	faint transmutation
Assisting gloves	180 gp	1	1	<p>The wearer of these simple gloves can speak a command word create a glowing disembodied hand. As a swift action, the wearer can have the hand assist him with a task as if using the aid another action. The hand uses the wearer's base attack bonus or skill ranks when making the check to see if aid another is successful (it does not gain the benefit of the wearer's ability scores or other bonuses). The hand remains until it has attempted one action or until 1 minute passes, whichever comes first, at which time the gloves become nonmagical.</p>	Cost 90 gp, craft wondrous item, mage hand, unseen servant	faint transmutation
Challenger's gloves	2200 gp	1	0	<p>These supple, velvet gloves are the sort that might be thrown down in challenge for a duel or other single combat. By removing a glove and using it to make a melee or ranged touch attack against an opponent, the wearer of the other glove gains a +1 morale bonus on attack rolls against the target, and the target gains a –1 penalty on attack rolls against the wearer. Both of these effects last for 1 minute, but immediately end if anyone but the glove's wearer attacks the challenged opponent. Both gloves must be worn by the same creature.</p>	Cost 1,100 gp, craft wondrous item, bane, bless	faint enchantment
Claws of the ice bear	1300 gp	3	1	<p>Strapped to the hands, these spiked climbing claws grant a +2 competence bonus on Climb checks and Acrobatics checks made when using both hands to aid in movement, and allow the wearer to ignore the normal penalties on those skills for slippery or icy surfaces. In addition, up to 3 times per day, the wearer can activate the claws as a swift action to gain the benefits of <i>spider climb</i> for 1 round. The wearer cannot hold anything else in her hands while using claws of the ice bear. If used as a weapon, <i>claws of the ice bear</i> function as spiked gauntlets.</p>	Cost 750 gp, craft wondrous item, spider climb	faint transmutation
Deliquescent gloves	8000 gp	7	1	<p>These heavy leather gloves ripple and flows at the wearer's command, reshaping to fit any hand, claw, tentacle, or alien limb. The wearer's melee touch attacks with that hand deal 1d6 points of acid damage. If the wearer uses that hand to wield a weapon or make an attack with an unarmed strike or natural weapon, that attack gains the <i>corrosive</i> weapon special ability.</p><p>The wearer's gloved hand is protected from the acid ability of oozes, allowing him to use that hand to attack oozes with unarmed strikes or natural attacks without risk of harm from contact with the ooze. These unarmed strikes and natural attacks never cause an ooze to split.</p>	Cost 4,000 gp, craft wondrous item, acid arrow, summon monster v	moderate conjuration
Engineer's workgloves	3000 gp	5	0	<p>These durable canvas and leather gloves imbue the wearer with an instinctive knowledge of mechanical devices. The wearer also gains a +5 competence bonus on Craft and Knowledge checks made to repair or understand mechanical devices.</p><p>Once per day, the wearer may touch a device and instantly analyze it, learning its purpose and general method of operation, as well as diagnosing any acute malfunctions of the device, but not its magical powers or additional non-mechanical effects. For example, she could touch a pressure plate and understand that stepping on it would trigger a wall scythe trap attacking that square and that the trap resets automatically, but not that the trap includes a <i>+1 flaming scythe</i> coated in poison.</p>	Cost 1,500 gp, craft wondrous item, creator must have 5 ranks in knowledge (engineering)	faint divination
Form-fixing gauntlets	8000 gp	15	1/2	<p>These leather gauntlets grant the wearer a +2 morale bonus on unarmed strikes, natural attacks, and combat maneuver checks versus creatures with the change shape special ability or similar abilities that allow it to change shape at will. While the wearer has such a creature grappled or pinned, it cannot use any shape-changing spells or abilities unless it succeeds at a concentration check; the DC of this check is 4 + the DC of casting the spell while grappled. If the wearer has such a creature pinned, a successful grapple check allows him to force the target into a specific shape it can take naturally (without the use of a spell). this involuntary transformation only forces the creature into a shape it is normally capable of and does not cost the creature an action.</p>	Cost 4,000 gp, craft wondrous item, polymorph any object	strong abjuration
Gauntlet of rust	11500 gp	7	2	<p>This single metal gauntlet looks rusted and pitted but is actually quite powerful. Once per day, it can affect an object as with the <i>rusting grasp</i> spell. It also completely protects the wearer and her gear from rust (magical or otherwise), including the attack of a rust monster.</p>	Cost 5,750 gp, craft wondrous item, rusting grasp	moderate transmutation
Gauntlet of rust, greater	34500 gp	7	1	<p>This item is identical to a <i>gauntlet of rust</i>, except the wearer can use <i>rusting grasp</i> 3 times per day.</p>	Cost 17,250 gp, craft wondrous item, rusting grasp	moderate transmutation
Gauntlets of the skilled maneuver	4000 gp	3	1	<p>The wearer of these gauntlets gains a +2 bonus on one type of combat maneuver check (such as bull rush, disarm, or steal) chosen by the creator when the item is created.</p>	Cost 2,000 gp, craft wondrous item, creator must have the appropriate improved combat maneuver feat	faint transmutation
