subtype	subtype2	name	cost		damage	critical	range	weight	damagetype	properties	
Simple	Unarmed Attacks	Unarmed strike		1d2	1d3	×2			Bludgeoning	Nonlethal	<p>An unarmed strike is an attack such as a punch or a kick where the attacker is not using a weapon to make the attack. A Medium character deals 1d3 points of nonlethal damage with an unarmed strike. A Small character deals 1d2 points of nonlethal damage. A monk or any character with the Improved Unarmed Strike feat can deal lethal or nonlethal damage with unarmed strikes at his discretion. The damage from an unarmed strike is considered weapon damage for the purposes of effects that give you a bonus on weapon damage rolls.</p><p>An unarmed strike is always considered a light weapon. Therefore, you can use the Weapon Finesse feat to apply your Dexterity modifier instead of your Strength modifier to attack rolls with an unarmed strike. Unarmed strikes do not count as natural weapons (<i>Core Rulebook</i> 182). An unarmed strike can't be disarmed.</p>
Simple	Light Melee 	Battle aspergillum	5 gp	1d4	1d6	×2		4	Bludgeoning	See text	<p>Named for the common aspergillum, a macelike tool used by priests to sprinkle holy water, this light mace has a hollow head and a metal plug closing off the hole through which the head is filled. When the mace strikes a creature, holy water sprinkles out through tiny holes throughout the weapon's head; creatures subject to damage from holy water take 1 point of damage in addition to the normal effect of being struck by the mace (a nonmagical aspergillum can deal holy water damage to an incorporeal creature in this manner, even if the mace itself deals no damage). After 5 hits, the battle aspergillum is empty and needs to be refilled. Filling it with holy water is a standard action that provokes attacks of opportunity (like drinking a potion). A filled aspergillum is normally carried upright, to prevent the holy water from leaking out as the weapon moves.</p>
Simple	Light Melee 	Brass knuckles	1 gp	1d2	1d3	×2		1	Bludgeoning	Monk, see text	<p>These weapons fit snugly around the knuckles and allow you to deal lethal damage with an unarmed strike. You may hold, but not wield, a weapon or other object in a hand wearing brass knuckles. You may cast a spell with a somatic component while wearing brass knuckles if you make a successful concentration check (DC 10 + the level of the spell you're casting). Monks are proficient with brass knuckles. Brass knuckles can't be disarmed.</p>
Simple	Light Melee 	Cestus	5 gp	1d3	1d4	19-20/×2		1	Bludgeoning or piercing	Monk, see text	<p>The cestus is a glove of leather or thick cloth that covers the wielder from mid-finger to mid-forearm. The close combat weapon is reinforced with metal plates over the fingers and often lined with wicked spikes along the backs of the hands and wrists. While wearing a cestus, you are considered armed and your unarmed attacks deal lethal damage. If you are proficient with a cestus, you can have your unarmed strikes deal bludgeoning or piercing damage. Monks are proficient with the cestus. When using a cestus, your fingers are mostly exposed, allowing you to wield or carry items in that hand, but the constriction of the weapon at your knuckles gives you a –2 penalty on all precision-based tasks involving that hand (such as opening locks). A cestus can't be disarmed.</p>
Simple	Light Melee 	Dagger	2 gp	1d3	1d4	19-20/×2	10	1	Piercing or slashing		"<p>A dagger is a fighting knife. Its blade is usually less than 1 foot long, and can be curved or straight, with one edge or two. Dagger designs vary widely, and can have many different names (such as a thrusting dagger being called a ""dirk""). You get a +2 bonus on Sleight of Hand skill checks made to conceal a dagger on your body.</p>"
Simple	Light Melee 	Gauntlet	2 gp	1d2	1d3	×2		1	Bludgeoning		<p>This metal glove lets you deal lethal damage rather than nonlethal damage with unarmed strikes. A strike with a gauntlet is otherwise considered an unarmed attack. The cost and weight given are for a single gauntlet. Medium and heavy armors (except breastplates) come with gauntlets. Your opponent cannot use a disarm action to disarm you of gauntlets.</p>
Simple	Light Melee 	Light mace	5 gp	1d4	1d6	×2		4	Bludgeoning		<p>A mace is made up of an ornate metal head attached to a simple wooden or metal shaft. The mace's head is usually flanged to cause more pain or damage. Some more primitive maces are made with stone bound to a wooden haft with leather straps.</p>
Simple	Light Melee 	Punching dagger	2 gp	1d3	1d4	×3		1	Piercing		<p>A punching dagger's blade is attached to a horizontal handle that projects out from the fist when held.</p>
Simple	Light Melee 	Sickle	6 gp	1d4	1d6	×2		2	Slashing	Trip	<p>Originating as a farming tool used for reaping grain, this one-handed weapon has a blade with a strong curve that can easily catch an opponent's limb or armor. Its blade can be either smooth or serrated, and some fighting sickles are sharpened on both sides near the point, making it easier to hook into an opponent's flesh.</p>
Simple	Light Melee 	Spiked gauntlet	5 gp	1d3	1d4	×2		1	Piercing		<p>This is a gauntlet of thick leather or metal with blades or spikes protruding from above the knuckles, allowing the wearer to stab with the force of a punch. The cost and weight given are for a single gauntlet. An attack with a spiked gauntlet is considered an armed attack. Your opponent cannot disarm you of spiked gauntlets.</p>
Simple	Light Melee 	Wooden stake		1d3	1d4	×2	10	1	Piercing		<p>This close combat weapon is just a sharpened piece of wood. Iron spikes that are used as weapons deal damage as wooden stakes.</p>
Simple	One-Handed Melee 	Club		1d4	1d6	×2	10	3	Bludgeoning		<p>This weapon is usually just a shaped piece of wood, sometimes with a few nails or studs embedded in it.</p>
Simple	One-Handed Melee 	Heavy mace	12 gp	1d6	1d8	×2		8	Bludgeoning		<p>A heavy mace has a larger head and a longer handle than a light mace.</p>
Simple	One-Handed Melee 	Mere club	2 gp	1d3	1d4	×2		2	Bludgeoning or piercing	Fragile	<p>A Stone Age weapon traditionally made of carved stone, a mere (MEH-reh) is a short, flat-sided, sharp-pointed club.</p>
Simple	One-Handed Melee 	Morningstar	8 gp	1d6	1d8	×2		6	Bludgeoning and piercing		<p>A morningstar is a spiked metal ball affixed to a handle.</p>
Simple	One-Handed Melee 	Shortspear	1 gp	1d4	1d6	×2	20	3	Piercing		<p>A shortspear is about 3 feet in length, making it a suitable thrown weapon.</p>
Simple	Two-Handed Melee 	Bayonet	5 gp	1d4	1d6	×2		1	Piercing		<p>Bayonets are close combat weapons designed to fit into the grooves or muzzles of crossbows and firearms. They allow you to make melee attacks with these weapons but render them temporarily useless as ranged weapons. Attaching or removing a bayonet is a move action.</p>
Simple	Two-Handed Melee 	Boar spear	5 gp	1d6	1d8	×2		8	Piercing	Brace, see text	<p>This spear has a metal crossbar to protect you against onrushing attackers. If you ready a boar spear against a charge and your attack hits, you gain a +2 shield bonus to your AC against that creature until your next turn.</p>
Simple	Two-Handed Melee 	Longspear	5 gp	1d6	1d8	×3		9	Piercing	Brace, reach	<p>A longspear is about 8 feet in length.</p>
Simple	Two-Handed Melee 	Quarterstaff		1d4/1d4	1d6/1d6	×2		4	Bludgeoning	Double, monk	<p>A quarterstaff is a simple piece of wood, about 5 feet in length. In battle, it's held with one hand at the butt and the other a quarter of the way up the staff, allowing it to block blows and make quick strikes.</p>
Simple	Two-Handed Melee 	Spear	2 gp	1d6	1d8	×3	20	6	Piercing	Brace	<p>A spear is 5 feet in length and can be thrown.</p>
Simple	Ranged 	Blowgun	2 gp	1	1d2	×2	20	1	Piercing		<p>Blowguns are generally used to deliver debilitating (but rarely fatal) poisons from a distance. They are nearly silent when fired. For a list of appropriate poisons, see Poisons on page 110.</p>
Simple	Ranged 	Dart	5 sp	1d3	1d4	×2	20	0.5	Piercing		<p>This thrown weapon is larger than an arrow and shorter than a javelin, with a weighted tip and a shorter range than a javelin. Most darts are wooden shafts with a thick metal point.</p>
Simple	Ranged 	Heavy crossbow	50 gp	1d8	1d10	19-20/×2	120	8	Piercing		<p>You draw a heavy crossbow back by turning a small winch. Loading a heavy crossbow is a full-round action that provokes attacks of opportunity. A heavy crossbow fires crossbow bolts.</p><p>Normally, operating a heavy crossbow requires two hands. However, you can shoot, but not load, a heavy crossbow with one hand at a –4 penalty on attack rolls. You can shoot a heavy crossbow with each hand, but you take a penalty on attack rolls as if attacking with two one-handed weapons. This penalty is cumulative with the penalty for one-handed firing.</p>
Simple	Ranged 	Javelin	1 gp	1d4	1d6	×2	30	2	Piercing		<p>A javelin is a thin throwing spear . Since it is not designed for melee, you are treated as nonproficient with it and take a –4 penalty on attack rolls if you use a javelin as a melee weapon.</p>
Simple	Ranged 	Light crossbow	35 gp	1d6	1d8	19-20/×2	80	4	Piercing		<p>You draw a light crossbow back by pulling a lever. Loading a light crossbow is a move action that provokes attacks of opportunity. A light crossbow fires crossbow bolts.</p><p>Normally, operating a light crossbow requires two hands. However, you can shoot, but not load, a light crossbow with one hand at a –2 penalty on attack rolls. You can shoot a light crossbow with each hand, but you take a penalty on attack rolls as if attacking with two light weapons. This penalty is cumulative with the penalty for one-handed firing.</p>
Simple	Ranged 	Sling		1d3	1d4	×2	50		Bludgeoning		<p>A sling is little more than a leather cup attached to a pair of strings. Your Strength modifier applies to damage rolls when you use a sling, just as it does for thrown weapons. You can fire, but not load, a sling with one hand. Loading a sling is a move action that requires two hands and provokes attacks of opportunity.</p><p>A sling fires sling bullets. You can hurl ordinary stones with a sling, but stones are not as dense or as round as bullets. Thus, such an attack deals damage as if the weapon were designed for a creature one size category smaller than you and you take a –1 penalty on attack rolls.</p>
Simple	Ranged 	Underwater heavy crossbow	100 gp	1d8	1d10	19-20/×2	120	8	Piercing		<p>Above water, this weapon is identical to a heavy crossbow. You may use it underwater, where it has a range increment of 20 feet. It counts as a heavy crossbow for the purposes of proficiencies and special abilities.</p>
Simple	Ranged 	Underwater light crossbow	70 gp	1d6	1d8	19-20/×2	80	4	Piercing		<p>An underwater light crossbow functions like its normal counterpart above water, and can be used underwater. When fired underwater, the crossbow has a range increment of 20 feet. Anyone proficient with a normal light crossbow can use an underwater light crossbow.</p>
Martial	Light Melee 	Butterfly sword (2)	20 gp	1d3	1d4	19-20/×2		1	Slashing	Monk	<p>These short matching swords come in pairs, cleverly nested together to appear as a single blade. Both weapons can be drawn at the same time, and they can be separated as a free action and wielded in both hands to make wickedly effective chops and slashes. Their thin, broad blades extend just 1 foot in length. A butterfly sword has a hardwood grip covered with braided cord, and a metal D-shaped guard to protect the wielder's hand. The listed price is for a pair of butterfly swords. Masterwork butterfly swords cost 320 gp for the pair. If you add magical enhancement bonuses or properties to a butterfly sword, treat each sword in the pair as a separate weapon (for example, adding a +1 magical enhancement bonus to a pair of masterwork butterfly swords costs 4,000 gp).</p>
Martial	Light Melee 	Dogslicer	8 gp	1d4	1d6	19-20/×2		1	Slashing	Fragile	<p>This short, curved blade was created by goblins, who often drill numerous holes into it in an attempt to reduce its weight. Most dogslicers are sized for Small creatures.</p>
Martial	Light Melee 	Gladius	15 gp	1d4	1d6	19-20/×2		3	Piercing or slashing	Performance	<p>The gladius is the favorite sword of gladiators, with a heavier blade than the standard shortsword. Feats and abilities that affect shortswords apply to the gladius.</p>
Martial	Light Melee 	Handaxe	6 gp	1d4	1d6	×3		3	Slashing		<p>This one-handed axe is short (roughly 1 foot long) and designed for use with one hand. Unlike throwing axes, it is not well balanced for a graceful tumbling motion, and is instead heavier at its head. Tomahawks, war hatchets, and other such names usually refer to hand axes.</p>
